No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,임대료,임대료,임대료,임대료,임대료,임대료,임대료
No,지역,지역,지역,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡,천원/㎡
1,전국,전국,전국,18.0,18.1,18.2,18.6,18.7,18.8,18.8
2,서울,서울,서울,23.7,23.9,24.1,24.6,24.7,24.9,24.9
3,서울,도심,도심,29.7,29.8,30.0,31.0,31.1,31.2,31.3
4,서울,도심,광화문,37.5,37.6,38.1,42.0,42.2,42.3,42.5
5,서울,도심,남대문,33.8,33.8,33.9,34.7,34.8,34.8,35.1
6,서울,도심,동대문,13.8,13.8,14.0,14.0,14.0,14.0,14.0
7,서울,도심,명동,21.4,21.4,21.4,21.4,21.6,21.8,22.0
8,서울,도심,시청,24.8,25.0,25.1,25.2,25.3,25.4,25.4
9,서울,도심,을지로,33.7,33.8,34.1,34.1,34.2,34.4,34.4
10,서울,도심,종로,21.2,21.2,21.2,21.2,21.2,21.3,21.3
11,서울,도심,충무로,14.4,14.4,14.4,14.4,14.4,14.4,14.4
12,서울,강남,강남,25.4,25.8,26.1,26.6,26.9,27.0,27.2
13,서울,강남,강남대로,29.6,30.2,30.6,31.1,31.6,31.8,32.1
14,서울,강남,교대역,21.8,21.8,21.8,21.9,22.0,22.0,22.1
15,서울,강남,남부터미널,15.9,16.0,16.1,16.2,16.3,16.3,16.4
16,서울,강남,논현역,26.1,26.2,26.4,26.4,26.5,26.5,26.6
17,서울,강남,도산대로,20.3,20.4,20.5,24.4,24.5,24.7,24.8
18,서울,강남,신사역,21.0,21.0,21.1,21.1,21.2,21.4,21.6
19,서울,강남,테헤란로,25.7,26.2,26.6,27.0,27.2,27.4,27.5
20,서울,여의도마포,여의도마포,19.4,19.6,19.7,19.9,20.1,20.2,20.3
21,서울,여의도마포,공덕역,16.0,16.0,16.0,16.0,16.0,16.1,16.1
22,서울,여의도마포,당산역,13.7,13.8,13.8,13.9,13.9,14.0,14.0
23,서울,여의도마포,여의도,21.3,21.5,21.6,21.9,22.2,22.3,22.5
24,서울,여의도마포,영등포역,12.6,12.6,12.6,12.7,12.7,12.7,12.7
25,서울,기타,기타,13.3,13.3,13.3,13.3,13.4,13.4,13.4
26,서울,기타,목동,11.7,11.7,11.7,11.7,11.7,11.7,11.7
27,서울,기타,사당,20.6,20.7,20.7,20.7,20.8,20.8,20.9
